FLUXO ATUARIAL   -   CIVIL   -   PLANO PREVIDENCIÁRIO   -   BENEFÍCIOS AVALIADOS EM REGIME FINANCEIRO DE CAPITALIZAÇÃO   -   GERAÇÃO ATUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES PRELIMINARES;;;;;CONTRIBUIÇÕES FUTURAS DE APOSENTADOS  E PENSIONISTAS -  BENEFÍCIOS CONCEDIDOS;;;;;;;CONTRIBUIÇÕES FUTURAS DO ENTE - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIBUIÇÕES FUTURAS DOS ATIVOS - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIB. FUT. APOSENTADOS - BENEF. A CONCEDER;;;;;CONTRIB. FUT. PENSIONISTAS - BENEF. A CONCEDER;;;;;;OUTRAS RECEITAS - BENEF. A CONCEDER;;;;TOTAL;ENCARGOS - BENEFÍCIOS CONCEDIDOS;;;;;;;ENCARGOS - BENEFÍCIOS A CONCEDER;;;;;;;;;;TOTAL;RESULTADOS;;;;
7;2026;6,00;0,66505;8.399.236,4941;0,00;0,00;0,00;0,00;0,00;0,00;7.582,76326;1.572.876,52614;927.657,71027;403.936,18592;0,00;55.440,49152;66.162,34081;105.738,05432;13.941,7433;797.840,11568;470.555,6954;205.200,29288;0,00;28.051,76664;33.476,80538;53.501,31544;7.054,23994;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;204.662,63903;236.690,51188;0,00;0,00;2.819.652,55599;96.893,60082;80.088,05944;0,00;0,00;13.830,73349;2.974,80789;0,00;2.000.971,18728;827.653,10009;847.642,68519;0,00;97.937,07094;131.251,16104;45.848,00744;20.995,98323;29.643,17934;0,00;2.097.864,7881;721.787,76789;64.344.036,7668;6,00;3.875.147,97478;68.460.947,55443
8;2027;6,00;0,62741;8.231.563,66958;0,00;0,00;0,00;0,00;0,00;0,00;7.870,95428;1.541.477,40434;909.139,0046;395.872,46236;0,00;54.333,74047;64.841,55093;103.627,21982;13.663,42616;782.175,73028;461.340,29219;201.188,45966;0,00;27.491,77301;32.808,51243;52.433,2759;6.913,4171;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;212.441,0614;241.825,02334;0,00;0,00;2.785.790,17364;95.578,86043;78.956,0973;0,00;0,00;13.654,55624;2.968,20689;0,00;2.115.773,29477;883.195,90409;866.488,1292;0,00;110.598,83311;146.934,81883;57.208,96622;20.576,84326;30.769,80006;0,00;2.211.352,1552;574.438,01844;68.821.355,71158;6,00;4.142.123,13437;73.177.508,70724
9;2028;6,00;0,5919;8.241.002,87194;0,00;0,00;0,00;0,00;0,00;0,00;8.687,9967;1.543.245,02927;910.181,52184;396.326,4126;0,00;54.396,04542;64.915,90527;103.746,05001;13.679,09412;783.520,48471;462.246,05929;201.490,2468;0,00;27.523,29805;32.846,13422;52.493,40157;6.921,34477;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;234.493,45201;247.071,05116;0,00;0,00;2.817.018,01385;94.155,12605;77.725,04383;0,00;0,00;13.468,61179;2.961,47043;0,00;2.364.375,36072;1.069.414,07526;884.040,62432;0,00;123.711,78926;162.592,10774;70.052,47388;20.600,43889;33.963,85137;0,00;2.458.530,48677;358.487,52708;73.389.697,47452;6,00;4.412.159,77406;77.948.156,00838
10;2029;6,00;0,5584;8.106.588,19162;0,00;0,00;0,00;0,00;0,00;0,00;9.542,28256;1.518.073,96811;895.336,02789;389.862,14012;0,00;53.508,82002;63.857,09595;102.053,90254;13.455,98158;771.277,51588;455.110,07536;198.336,99888;0,00;27.074,37996;32.310,39814;51.637,2092;6.808,45434;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;257.551,06217;252.430,78707;0,00;0,00;2.808.875,61579;92.614,19531;76.387,45635;0,00;0,00;13.272,1852;2.954,55376;0,00;2.623.974,34717;1.230.111,04664;936.431,62875;0,00;137.258,01612;177.950,25454;84.655,46729;20.264,43593;37.303,4979;0,00;2.716.588,54248;92.287,07331;77.999.689,11012;6,00;4.682.426,5849;82.722.869,66659
11;2030;6,00;0,52679;7.951.875,26171;0,00;0,00;0,00;0,00;0,00;0,00;11.451,69498;1.489.101,77095;878.248,68401;382.421,68397;0,00;52.487,61281;62.638,39356;100.106,22025;13.199,17634;757.512,76368;446.996,51373;194.934,58332;0,00;26.557,66978;31.693,75939;50.651,72138;6.678,51609;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;309.087,07504;257.909,73602;0,00;0,00;2.825.063,04067;90.950,90126;74.938,88725;0,00;0,00;13.064,55424;2.947,45976;0,00;3.146.368,30855;1.456.290,56247;1.181.257,46924;0,00;150.244,97503;192.463,65408;101.466,02089;19.877,69243;44.767,9344;0,00;3.237.319,20981;-412.256,16914;82.505.697,23925;6,00;4.938.636,80985;87.249.250,3073
12;2031;6,00;0,49697;7.510.719,21347;0,00;0,00;0,00;0,00;0,00;0,00;13.335,90951;1.406.489,02476;829.524,99229;361.205,60182;0,00;49.575,69241;59.163,3257;94.552,50329;12.466,90926;716.685,40917;422.901,43328;184.614,57675;0,00;25.084,29699;29.935,44539;47.841,653;6.308,00377;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;359.942,98401;263.507,27767;0,00;0,00;2.759.960,60513;89.155,28657;73.370,5827;0,00;0,00;12.844,51707;2.940,1868;0,00;3.662.868,37166;1.666.466,73475;1.436.156,16594;0,00;162.802,12187;205.502,49314;121.032,07777;18.774,91303;52.133,86517;0,00;3.752.023,65823;-992.063,0531;86.756.224,7318;6,00;5.175.431,23525;91.432.618,48945
13;2032;6,00;0,46884;7.057.487,71058;0,00;0,00;0,00;0,00;0,00;0,00;16.094,96745;1.321.614,9779;779.467,62119;339.408,78674;0,00;46.584,06605;55.593,13724;88.846,76833;11.714,59835;675.192,22645;398.447,9289;174.162,68441;0,00;23.570,5946;28.129,00229;44.954,66659;5.927,34967;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;434.411,36198;269.225,16891;0,00;0,00;2.716.538,70269;87.219,07051;71.675,20808;0,00;0,00;12.611,07706;2.932,78538;0,00;4.396.235,59834;2.004.677,85487;1.776.908,02639;0,00;173.797,20038;216.990,29915;143.300,46173;17.641,94802;62.919,8078;0,00;4.483.454,66885;-1.766.915,96616;90.604.217,60788;6,00;5.379.942,1514;95.045.644,67469
14;2033;6,00;0,4423;6.355.330,52552;0,00;0,00;0,00;0,00;0,00;0,00;18.078,66329;1.190.126,05568;701.917,53351;305.640,63467;0,00;41.949,36627;50.062,11511;80.007,306;10.549,10013;609.918,51599;359.941,41777;157.601,44216;0,00;21.225,53031;25.330,41703;40.482,07755;5.337,63116;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;487.952,32203;275.068,52847;0,00;0,00;2.581.144,08546;85.132,16623;69.842,86624;0,00;0,00;12.363,96827;2.925,33171;0,00;4.937.191,90988;2.232.876,46733;2.038.515,87716;0,00;183.966,92065;227.622,14353;167.649,13062;15.886,73128;70.674,63931;0,00;5.022.324,07611;-2.441.179,99065;93.965.910,76483;6,00;5.556.267,88104;98.160.732,56508
15;2034;6,00;0,41726;5.832.460,0271;0,00;0,00;0,00;0,00;0,00;0,00;19.193,78477;1.092.211,11618;644.168,85008;280.494,74015;0,00;38.498,07669;45.943,36739;73.424,88518;9.681,19668;561.396,65805;331.410,15756;145.210,84339;0,00;19.479,24764;23.246,41404;37.151,50584;4.898,48958;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;518.050,0182;281.040,31133;0,00;0,00;2.471.891,88853;82.898,74878;67.878,29162;0,00;0,00;12.102,62249;2.917,83467;0,00;5.263.643,32283;2.409.495,50366;2.139.751,76148;0,00;193.359,44987;237.023,92441;194.399,03066;14.579,68626;75.033,96649;0,00;5.346.542,07161;-2.874.650,18308;96.961.256,02969;6,00;5.717.164,94292;101.003.247,32492
16;2035;6,00;0,39364;5.518.908,72503;0,00;0,00;0,00;0,00;0,00;0,00;20.480,19051;1.033.494,1741;609.538,52587;265.415,42704;0,00;36.428,43163;43.473,46574;69.477,58537;9.160,73845;532.879,15091;314.666,18695;137.994,82077;0,00;18.432,04912;21.996,6938;35.154,25203;4.635,14825;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;552.770,76377;287.139,98713;0,00;0,00;2.426.764,26642;80.509,8535;65.774,075;0,00;0,00;11.825,54609;2.910,23241;0,00;5.633.781,78479;2.596.295,3718;2.272.816,66873;0,00;202.159,19352;245.260,19872;223.391,57272;13.795,8867;80.062,89259;0,00;5.714.291,63829;-3.287.527,37187;99.709.145,05026;6,00;5.862.943,19718;103.578.663,15023
17;2036;6,00;0,37136;5.142.628,18872;0,00;0,00;0,00;0,00;0,00;0,00;22.316,81764;963.030,29048;567.980,04124;247.319,3388;0,00;33.944,73232;40.509,43429;64.740,58674;8.536,15708;498.738,09565;294.418,07293;129.571,172;0,00;17.175,34754;20.496,95387;32.757,42659;4.319,12272;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;602.342,26481;293.369,73242;0,00;0,00;2.379.797,201;77.968,50675;63.534,88396;0,00;0,00;11.531,14372;2.902,47907;0,00;6.140.604,75924;2.754.782,48845;2.568.726,9192;0,00;210.175,77556;252.317,63937;254.503,86616;12.855,2798;87.242,79071;0,00;6.218.573,26599;-3.838.776,06499;102.153.095,27074;6,00;5.984.393,22511;105.724.280,31035
18;2037;6,00;0,35034;4.599.554,59778;0,00;0,00;0,00;0,00;0,00;0,00;23.810,23233;861.332,03448;508.000,01755;221.201,83692;0,00;30.360,08902;36.231,54308;57.903,82903;7.634,71888;448.831,62036;265.061,91434;116.914,50914;0,00;15.361,59058;18.332,4275;29.298,16556;3.863,01324;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;642.650,28725;299.735,53276;0,00;0,00;2.276.359,70718;75.273,98426;61.161,03838;0,00;0,00;11.218,39752;2.894,54836;0,00;6.562.052,67532;2.965.682,31753;2.728.537,10141;0,00;217.425,14654;258.334,52725;287.494,87677;11.497,73212;93.080,9737;0,00;6.637.326,65958;-4.360.966,9524;104.196.459,14825;6,00;6.081.798,80148;107.445.112,15943
19;2038;6,00;0,33051;4.125.626,8441;0,00;0,00;0,00;0,00;0,00;0,00;25.130,27229;772.582,32022;455.656,83908;198.409,69749;0,00;27.231,85378;32.498,32643;51.937,54881;6.848,05463;405.599,5705;239.848,27312;105.784,70952;0,00;13.778,76686;16.443,49543;26.279,34852;3.464,97705;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;678.278,83732;306.239,26935;0,00;0,00;2.187.830,26967;72.434,63871;58.661,1351;0,00;0,00;10.887,12678;2.886,37683;0,00;6.940.284,32617;3.240.963,59791;2.781.722,15174;0,00;223.610,63632;262.590,3247;322.843,19831;10.313,03168;98.241,38551;0,00;7.012.718,96488;-4.824.888,69521;105.850.438,19678;6,00;6.157.213,40785;108.777.436,87207
20;2039;6,00;0,3118;3.677.043,00395;0,00;0,00;0,00;0,00;0,00;0,00;26.125,69957;688.578,61433;406.112,78132;176.836,39787;0,00;24.270,90506;28.964,74847;46.290,32331;6.103,45829;364.686,75427;215.947,99208;95.292,40586;0,00;12.280,58673;14.655,5765;23.421,96672;3.088,22637;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;705.145,92614;312.886,55485;0,00;0,00;2.097.423,54915;69.464,97992;56.049,37578;0,00;0,00;10.537,64949;2.877,95465;0,00;7.237.682,67324;3.441.693,41829;2.830.237,40263;0,00;228.948,95119;265.538,1668;359.940,25566;9.191,68466;102.132,794;0,00;7.307.147,65316;-5.209.724,10401;107.153.044,89644;6,00;6.214.062,76608;109.781.775,53414
21;2040;6,00;0,29415;3.295.775,69342;0,00;0,00;0,00;0,00;0,00;0,00;26.244,39677;617.180,88629;364.003,53002;158.500,48563;0,00;21.754,28975;25.961,43528;41.490,54614;5.470,59947;329.707,47585;195.556,69939;86.246,1961;0,00;11.007,23033;13.135,96081;20.993,37661;2.768,01261;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;708.349,624;319.677,21835;0,00;0,00;2.001.159,60126;66.370,48878;53.331,61267;0,00;0,00;10.169,65135;2.869,22476;0,00;7.318.085,69063;3.530.850,62759;2.776.240,25335;0,00;234.257,78913;268.101,08705;397.800,50631;8.238,61208;102.596,81514;0,00;7.384.456,17941;-5.383.296,57815;108.198.278,84568;6,00;6.263.908,73736;110.662.387,69335
22;2041;6,00;0,2775;3.135.346,6722;0,00;0,00;0,00;0,00;0,00;0,00;27.865,34059;587.138,26971;346.284,86969;150.785,13115;0,00;20.695,35257;24.697,70618;39.470,90393;5.204,30619;316.775,42166;188.184,11403;83.018,58649;0,00;10.471,42955;12.496,53947;19.971,47853;2.633,2736;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;752.099,72255;326.614,21399;0,00;0,00;2.010.492,9685;63.158,92396;50.515,7365;0,00;0,00;9.783,04523;2.860,14223;0,00;7.769.706,10979;3.797.253,48658;2.911.917,80149;0,00;237.654,86795;267.868,6936;438.240,1346;7.837,57979;108.933,54579;0,00;7.832.865,03375;-5.822.372,06525;109.046.679,44524;6,00;6.290.400,93769;111.130.416,56579
23;2042;6,00;0,26179;2.545.161,20719;0,00;0,00;0,00;0,00;0,00;0,00;28.681,60342;476.617,64505;281.101,55243;122.401,92443;0,00;16.799,73988;20.048,70601;32.041,05447;4.224,66783;262.773,34516;156.703,53086;69.075,52497;0,00;8.500,32837;10.144,23947;16.212,12508;2.137,59642;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;774.131,07172;333.704,86904;0,00;0,00;1.875.908,53438;59.841,36078;47.612,40887;0,00;0,00;9.378,25906;2.850,69284;0,00;8.019.018,6926;3.996.782,41672;2.917.938,6884;0,00;239.794,87892;266.726,09865;479.289,7962;6.362,26425;112.124,54947;0,00;8.078.860,05338;-6.202.951,519;109.506.545,88763;6,00;6.295.647,90281;111.223.112,9496
24;2043;6,00;0,24697;2.153.860,1656;0,00;0,00;0,00;0,00;0,00;0,00;28.866,79742;403.340,95813;237.884,12088;103.583,46987;0,00;14.216,89535;16.966,35527;27.114,96258;3.575,15419;227.174,55337;135.850,92729;60.016,95445;0,00;7.193,46131;8.584,63238;13.719,62228;1.808,95566;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;779.129,55202;340.948,60897;0,00;0,00;1.779.460,46991;56.430,77811;44.633,87955;0,00;0,00;8.956,11505;2.840,78351;0,00;8.110.938,94329;4.034.854,55235;2.931.264,52797;0,00;241.213,12078;264.695,13342;520.678,9734;5.384,10985;112.848,52552;0,00;8.167.369,7214;-6.387.909,25149;109.645.491,00176;6,00;6.290.112,22189;111.125.315,92
25;2044;6,00;0,23299;1.919.165,46461;0,00;0,00;0,00;0,00;0,00;0,00;29.277,4674;359.391,03646;211.963,15186;92.296,52939;0,00;12.667,75578;15.117,62166;24.160,38914;3.185,58863;206.844,01747;124.371,38243;54.577,28512;0,00;6.409,62804;7.649,21059;12.224,66792;1.611,84337;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;790.213,74398;348.348,04008;0,00;0,00;1.734.074,30539;52.943,40362;41.595,15358;0,00;0,00;8.517,90754;2.830,3425;0,00;8.256.876,36693;4.208.561,63193;2.863.974,82153;0,00;241.551,49875;261.516,08897;562.020,9424;4.797,432;114.453,95136;0,00;8.309.819,77055;-6.575.745,46516;109.593.232,98407;6,00;6.272.974,22729;110.822.544,68213
